Country/Region,Total_confirmed_cases,Total_deaths,Recovered_covid,Recovered_percentage,Death_percentage
Croatia,647706645,20127930,627578715,96.89243114064392,3.107568859356075
Cuba,626193537,9884642,616308895,98.42147173103129,1.5785282689687037
Cyprus,253807006,1245616,252561390,99.50922710147725,0.490772898522746
Czechia,2439147631,56516174,2382631457,97.68295394334825,2.317046056651747
Denmark,1461653212,7855798,1453797414,99.4625402294125,0.5374597705874983
Diamond Princess,796020,28378,767642,96.43501419562322,3.5649858043767746
Djibouti,11829935,287852,11542083,97.56674909879048,2.4332509012095165
Dominica,6627068,64832,6562236,99.02170914799727,0.9782908520027257
Dominican Republic,399963958,7209338,392754620,98.19750308601557,1.8024969139844347
Ecuador,584150381,52883592,531266789,90.94692159415025,9.053078405849742
Egypt,334600873,34497882,300102991,89.68984100648177,10.310158993518227
El Salvador,113567058,5794830,107772228,94.89743760025905,5.102562399740953
Equatorial Guinea,11448174,279724,11168450,97.55660597052422,2.4433940294757925
Eritrea,6235402,108312,6127090,98.26295080894543,1.7370491910545622
Estonia,291006254,3135032,287871222,98.92269256866211,1.0773074313378845
Eswatini,42980649,1879782,41100867,95.62644575236638,4.373554247633627
Ethiopia,321253355,10071038,311182317,96.86507927675962,3.134920723240384
Fiji,36794437,933028,35861409,97.46421449525101,2.5357855047489926
Finland,529055121,5551432,523503689,98.95068929878103,1.0493107012189755
France,16105911886,226820714,15879091172,98.59169281686458,1.408307183135424
Gabon,31568025,404200,31163825,98.71959047168772,1.2804095283122716
Gambia,8425604,518616,7906988,93.84476175239188,6.155238247608124
Georgia,898731351,19230684,879500667,97.8602411078013,2.139758892198699
Germany,13686043720,192117600,13493926120,98.59625174425499,1.4037482557450138
Ghana,117781853,1988858,115792995,98.31140540809797,1.688594591902031
Greece,1964682966,35797116,1928885850,98.17796984961491,1.8220301503850875
Grenada,8143276,237416,7905860,97.08451488074333,2.9154851192566724
Guatemala,578700431,24775594,553924837,95.71875314535578,4.281246854644212
Guinea,27081703,579630,26502073,97.85969885276417,2.1403011472358293
Guinea-Bissau,5789358,228514,5560844,96.05286112898874,3.947138871011259
Guyana,37410507,1496072,35914435,96.00093096840413,3.999069031595856
Haiti,22170826,1143756,21027070,94.84116649510487,5.158833504895126
